customer_id,account_age,total_purchases,avg_purchase_value,days_since_purchase,login_weekly_frequency,complaints_raised,avg_product_rating_5,email_open_rate,churned
1,380.2089102499546,15,53.25890493439253,86.12211453616843,26.265658438858498,8,0.6754028696347589,0.30505928185907544,1
2,373.8010485680413,21,101.43078516694098,0.0,30.793978724399363,6,3.554482069077469,0.5308690572163,0
3,332.461915770104,18,181.92134935054636,102.76516602039456,12.613291579855312,0,5.0,0.027646634970074076,1
4,433.2025798058488,20,240.91655414126245,26.26580972794496,36.294837505360206,5,4.937325309475522,0.7800501283624317,0
5,480.8379707496597,32,267.58356890066955,27.132484745550254,24.795166925176627,8,3.9813694146110783,0.6456616934127587,0
6,306.03217541259977,32,257.88007132649386,49.68804160665946,19.134858558955983,3,5.0,0.74837420726799,0
7,425.613025823776,0,63.82492426497868,6.651852546208938,2.0717940349320307,9,4.274439995576276,0.5999801874388692,0
8,298.98586626487105,8,209.86417964271504,37.53611106481023,6.985353748433418,3,5.0,0.22411921650411887,1
9,202.21822715762463,15,241.80388787706602,151.1861864777834,17.039558481295195,1,4.685047706357492,0.2008081333489683,1
10,604.7604363811907,7,388.34359435064704,70.63292951726896,26.495193718928032,7,4.856635567711429,0.9760289373249315,0
11,340.78202103297866,16,297.0139646814196,14.31012605539372,31.864640235633953,5,3.20317426543874,0.7999807421235323,0
12,247.59618377918565,7,186.0706510064336,91.7407123150078,20.343872996918993,13,2.7586110266623733,0.2645283928890474,1
13,106.68177123373907,21,191.65925349524392,5.842959946999873,10.623334716482283,7,3.995575000956676,0.22420282639434666,1
14,402.7762900791487,30,430.8376456848882,51.72008800852721,10.643148592392263,0,3.950793928039455,0.8071619764440333,0
15,364.0407051831264,22,335.2441675882489,44.96228454425502,20.487005806582854,4,3.2320113844931444,0.5570613003907477,0
16,310.78655711656285,13,186.41901534534085,14.217409541796876,7.772085497751286,5,3.800499799108923,0.634829145922024,0
17,138.06885892508333,8,126.48431311163598,67.32071974784571,11.39306960528153,13,4.745235782165521,0.47447431265336176,1
18,330.9008515517277,14,0.0,101.55790651780184,22.393737389089782,24,1.0709704993814395,0.24125038174368657,1
19,114.28930118031059,9,233.67770221494925,0.0,19.00508158621942,11,5.0,0.10363008969905255,1
20,290.3464292206437,14,396.40497536427927,70.02878181085764,18.164326994644192,8,4.297522043604072,0.8382503566327315,0
21,181.71347511306303,20,44.99320965884246,62.68856335831164,2.8467207536715855,3,5.0,0.13081774453879616,1
22,260.45029216552257,17,269.2939809209023,46.15428060244171,16.512895765753186,4,2.545375804623483,0.18935840794312203,1
23,145.17769492933803,14,223.08414566573907,97.13550052410228,13.086887281811537,15,5.0,0.3433094676304863,1
24,314.5042422609892,0,186.98892669300324,58.76143907851648,24.82107956053522,1,4.966566048440864,0.2913068781875142,1
