customer_id,account_age,total_purchases,avg_purchase_value,days_since_purchase,login_weekly_frequency,complaints_raised,avg_product_rating_5,email_open_rate,churned,batch_num,drift_magnitude
1,442.72796058091393,17,207.15526035621033,30.57782758993229,15.88778200288115,7,3.0338033331901926,0.6469124173177236,0,14,0.42
2,72.49777967035294,10,280.21710500247735,29.98884793479779,2.6564526924572607,3,3.3009443171111377,0.3372246855918282,0,14,0.42
3,303.65815113559245,5,147.45106315081995,40.877111246663716,23.97984961706034,4,2.9881940749626743,0.5500226652488596,0,14,0.42
4,246.57958932947938,8,94.31975516124801,48.802275146905224,19.95997472800083,7,3.573037219025639,0.32487733905965616,0,14,0.42
5,292.11177952489237,5,150.07344678163813,43.12613382296684,21.029633321805985,5,3.8989701276675834,0.17641195828539574,0,14,0.42
6,370.9069847548688,19,359.5318358027768,52.82941569787606,10.058167761421466,4,2.748919388335529,0.6903300887943264,0,14,0.42
7,259.278174037394,22,206.8077248803082,68.45725498855163,20.08644422285277,0,3.4730251429591883,0.3338627984876329,0,14,0.42
8,221.85186555741564,0,199.663144367792,88.87211360521991,2.676284193198811,5,0.0,0.21723193031482327,1,14,0.42
9,212.15736677015536,21,270.6052522993587,32.46914156578203,23.895347164246232,10,5.0,0.05686483930904701,0,14,0.42
10,348.8876513950802,6,107.02473889534473,84.24529990603676,12.71115486158283,5,2.97059979898628,0.3301523493655811,0,14,0.42
11,491.3643358028425,17,191.27218022990522,62.184113284389696,0.0,6,3.656347137823801,0.21208040996448957,0,14,0.42
12,385.33888397217885,16,152.17064131571388,62.43786430954553,15.98907584078008,8,4.253533687929571,0.8024781959878995,0,14,0.42
13,276.68192478499856,18,130.20074520682877,61.491106150941825,5.977059344000639,7,4.689657891010405,0.45553270964797654,0,14,0.42
14,292.53367259462095,19,80.57946417909486,39.67009944220719,15.490434505236992,7,3.0922035966512427,0.0,0,14,0.42
15,170.4812911009797,18,169.66453259620994,177.3872194808756,0.0,8,0.4122821746387646,0.08718910850162742,1,14,0.42
16,203.9171190399607,39,189.6384654480994,41.89696481025921,0.0015289952737251866,4,4.280117669351239,0.7299606036393016,0,14,0.42
17,368.11202339207483,24,124.84619497645554,5.620700238543513,1.903969404372008,0,2.72540453937019,0.49378523024969967,0,14,0.42
18,191.1497381902867,15,195.17953951482986,25.611628800952754,10.020102976146704,14,4.29886999397535,0.2724932994052805,1,14,0.42
19,431.4785030174453,0,60.10183556949318,52.147426830021104,11.958896344633434,1,4.395132397268422,0.5676169003191711,0,14,0.42
20,0.0,9,91.8977971541961,20.923328828914073,6.687705443965717,5,1.9787248118739829,0.2602038392715502,1,14,0.42
21,393.7492234758063,0,212.26458901753043,81.9565268110886,14.162112152923081,4,4.280875885109116,0.0,1,14,0.42
22,207.7942429037436,7,186.72932522189708,22.829806544598174,23.21215580439627,8,4.197623961861271,0.3456361783963449,0,14,0.42
